order_id,customer_id,store_id,item,size,timestamp,amount,coupon_applied,satisfaction_rating
50042,1417,2094,Cold Coffee,M,27-11-2025 07:48,237,YES,4
50043,1333,2117,Cold Coffee,M,13-08-2025 12:16,260,NO,5
50044,1499,2196,Espresso,S,03-12-2025 02:11,170,NO,4
50045,1192,2046,Hot Cocoa,L,07-07-2025 19:08,357,NO,4
50046,1146,2169,Espresso,L,31-07-2025 05:07,439,YES,1
50047,1413,2027,Hot Cocoa,L,09-06-2025 09:39,395,NO,1
50048,1255,2192,Sandwich,L,25-06-2025 13:44,404,NO,5
50049,1298,2009,Americano,M,17-07-2025 08:29,194,NO,5
50050,1196,2030,Espresso,M,30-06-2025 09:02,259,NO,4
50051,1465,2166,Americano,L,22-08-2025 01:42,83,NO,2
50052,1260,2073,Hot Cocoa,L,27-07-2025 13:45,237,NO,2
50053,1003,2107,Tea,S,11-06-2025 07:25,158,NO,5
50054,1420,2190,Americano,M,09-07-2025 07:16,372,NO,2
50055,1285,2101,Hot Cocoa,L,09-10-2025 08:22,281,YES,5
50056,1220,2033,Espresso,L,09-07-2025 22:40,286,NO,5
50057,1082,2112,Americano,S,22-10-2025 02:03,490,YES,5
50058,1061,2162,Espresso,M,16-11-2025 21:54,470,NO,5
50059,1082,2083,Latte,S,24-06-2025 07:44,93,NO,1
50060,1322,2198,Tea,S,11-06-2025 14:44,396,YES,5
50061,1196,2007,Muffin,M,07-10-2025 09:54,403,NO,2
50062,1123,2168,Hot Cocoa,M,13-07-2025 20:24,354,YES,4
50063,1395,2067,Latte,S,29-07-2025 14:31,122,YES,1
50064,1327,2149,Espresso,S,03-09-2025 08:47,385,YES,1
50065,1073,2073,Hot Cocoa,S,24-06-2025 05:28,119,NO,3
50066,1468,2054,Espresso,S,09-09-2025 13:29,487,YES,4
50067,1038,2125,Sandwich,S,17-07-2025 01:08,431,NO,4
50068,1456,2081,Latte,S,11-07-2025 03:03,232,YES,2
50069,1338,2146,Muffin,L,19-11-2025 04:47,96,YES,3
50070,1178,2124,Cappuccino,L,20-09-2025 07:53,82,YES,5
50071,1380,2066,Latte,S,01-10-2025 21:46,95,YES,5
50072,1263,2195,Espresso,S,21-11-2025 13:01,266,YES,2
50073,1016,2084,Americano,S,22-06-2025 09:58,452,YES,3
50074,1141,2124,Hot Cocoa,S,12-08-2025 21:28,442,NO,4
50075,1382,2127,Latte,L,22-08-2025 20:57,178,NO,2
50076,1102,2176,Latte,M,26-06-2025 04:37,378,NO,2
50077,1407,2053,Tea,M,29-08-2025 09:13,308,NO,5
50078,1383,2070,Tea,L,27-06-2025 02:21,390,NO,4
50079,1103,2146,Americano,M,27-11-2025 13:35,403,YES,4
50080,1086,2009,Sandwich,M,28-09-2025 04:06,289,NO,5
50081,1424,2166,Americano,M,22-08-2025 13:20,95,YES,2
50082,1415,2083,Americano,S,14-08-2025 16:18,205,YES,2
50083,1337,2096,Muffin,S,04-11-2025 13:54,240,YES,1
50084,1164,2177,Cappuccino,L,09-08-2025 01:44,189,NO,5
50085,1408,2083,Latte,L,19-06-2025 01:46,277,NO,5
50086,1109,2135,Latte,S,23-09-2025 03:21,222,YES,5
50087,1458,2166,Latte,L,31-10-2025 01:15,302,NO,3
50088,1102,2051,Muffin,M,11-09-2025 00:58,103,NO,4
50089,1062,2032,Muffin,S,30-09-2025 23:58,247,NO,2
50090,1296,2006,Cold Coffee,S,09-10-2025 04:48,481,YES,4
50091,1146,2034,Tea,S,27-11-2025 03:58,353,YES,3
50092,1331,2005,Muffin,M,24-06-2025 16:23,490,NO,3
50093,1141,2082,Espresso,M,21-06-2025 16:50,364,NO,4
50094,1314,2013,Cappuccino,M,19-10-2025 10:49,312,NO,1
50095,1432,2096,Cold Coffee,S,11-06-2025 21:35,194,YES,1
50096,1072,2027,Sandwich,L,24-10-2025 20:21,303,YES,2
50097,1046,2049,Muffin,M,11-11-2025 16:37,355,YES,1
50098,1133,2012,Hot Cocoa,S,04-08-2025 07:11,118,NO,3
50099,1353,2157,Muffin,M,19-10-2025 21:06,167,YES,5
50100,1236,2031,Americano,M,20-11-2025 13:49,155,NO,4
50101,1343,2032,Cappuccino,L,07-09-2025 00:23,418,NO,3
50102,1165,2198,Muffin,M,20-07-2025 01:32,127,NO,3
50103,1365,2022,Tea,L,15-11-2025 11:00,204,YES,1
50104,1039,2127,Espresso,S,08-06-2025 18:16,423,YES,4
50105,1420,2099,Espresso,M,26-06-2025 12:15,254,YES,5
50106,1390,2136,Sandwich,M,31-10-2025 21:13,239,NO,2
50107,1435,2130,Tea,S,18-07-2025 16:42,266,NO,4
50108,1445,2159,Cold Coffee,S,04-11-2025 16:15,284,YES,1
50109,1143,2109,Cappuccino,L,04-08-2025 20:30,375,YES,2
50110,1237,2028,Espresso,S,22-07-2025 22:12,88,NO,2
50111,1137,2008,Mocha,L,17-09-2025 07:12,311,NO,3
50112,1061,2141,Muffin,M,28-08-2025 23:54,188,YES,4
50113,1258,2111,Cappuccino,S,30-08-2025 21:53,219,NO,1
50114,1026,2167,Hot Cocoa,L,27-08-2025 06:30,179,NO,2
50115,1207,2046,Hot Cocoa,M,17-09-2025 01:02,391,NO,5
50116,1222,2028,Espresso,S,09-10-2025 17:17,207,YES,2
50117,1059,2014,Mocha,L,27-07-2025 21:34,202,YES,5
50118,1052,2071,Mocha,L,20-10-2025 01:03,446,NO,4
50119,1202,2026,Espresso,L,13-11-2025 05:32,434,NO,4
50120,1106,2044,Latte,M,07-10-2025 21:15,227,NO,1
50121,1049,2048,Sandwich,L,05-10-2025 00:22,324,NO,2
50122,1088,2081,Tea,S,12-07-2025 14:11,250,NO,2
50123,1493,2004,Cold Coffee,M,10-08-2025 01:54,90,YES,3
50124,1452,2020,Latte,L,31-10-2025 20:10,84,NO,4
50125,1299,2001,Americano,S,05-09-2025 23:25,136,YES,1
50126,1291,2175,Sandwich,S,16-09-2025 05:01,337,YES,2
50127,1397,2025,Cold Coffee,M,09-11-2025 07:30,456,NO,4
50128,1252,2189,Sandwich,L,26-07-2025 04:23,419,NO,3
50129,1187,2118,Cappuccino,M,03-08-2025 16:29,443,NO,5
50130,1397,2170,Sandwich,M,28-06-2025 02:36,218,YES,2
50131,1211,2057,Hot Cocoa,S,14-08-2025 13:44,334,YES,2
50132,1296,2190,Sandwich,M,16-07-2025 06:33,461,YES,2
50133,1472,2097,Americano,M,23-11-2025 12:53,400,NO,5
50134,1090,2068,Muffin,M,25-11-2025 15:27,249,NO,5
50135,1214,2071,Americano,S,14-06-2025 04:38,376,NO,5
50136,1063,2111,Cold Coffee,L,07-11-2025 02:32,485,NO,3
50137,1057,2003,Sandwich,L,04-07-2025 18:46,318,YES,5
50138,1495,2075,Mocha,L,13-10-2025 05:03,163,NO,4
50139,1148,2017,Cold Coffee,S,02-09-2025 08:13,100,YES,3
50140,1423,2152,Sandwich,S,09-09-2025 01:03,236,YES,4
50141,1181,2170,Cold Coffee,S,25-07-2025 00:51,150,NO,3
50142,1403,2129,Tea,L,06-07-2025 07:37,124,NO,2
50143,1376,2051,Cappuccino,L,01-12-2025 12:29,121,NO,2
50144,1017,2122,Sandwich,S,10-11-2025 19:56,427,NO,4
50145,1205,2026,Muffin,M,30-09-2025 03:30,239,YES,5
50146,1224,2174,Latte,L,03-07-2025 05:42,429,YES,3
50147,1070,2107,Hot Cocoa,S,03-08-2025 16:09,236,YES,3
50148,1291,2161,Tea,L,11-07-2025 19:40,272,NO,1
50149,1071,2135,Hot Cocoa,L,06-08-2025 00:59,337,NO,4
50150,1182,2110,Espresso,M,24-08-2025 21:02,316,YES,5
50151,1014,2197,Cappuccino,S,30-10-2025 23:38,151,NO,2
50152,1298,2132,Sandwich,S,04-10-2025 18:39,358,NO,1
50153,1387,2101,Hot Cocoa,M,14-10-2025 07:53,83,NO,5
50154,1236,2014,Mocha,S,28-07-2025 16:12,412,YES,3
50155,1305,2025,Muffin,L,07-09-2025 16:54,433,NO,1
50156,1063,2190,Tea,L,16-07-2025 00:46,344,YES,5
50157,1380,2127,Cold Coffee,S,27-11-2025 00:20,425,YES,3
50158,1322,2080,Sandwich,M,05-10-2025 07:35,432,YES,1
50159,1035,2001,Mocha,L,24-11-2025 01:43,141,YES,2
50160,1105,2027,Sandwich,S,14-11-2025 21:53,338,NO,4
50161,1029,2032,Espresso,M,08-09-2025 03:23,174,YES,5
50162,1134,2157,Muffin,L,04-10-2025 01:15,143,NO,2
50163,1326,2006,Mocha,S,12-11-2025 03:49,461,YES,2
50164,1262,2190,Cappuccino,M,07-09-2025 12:14,228,NO,1
50165,1492,2151,Cold Coffee,M,13-10-2025 20:48,220,NO,4
50166,1358,2028,Americano,M,11-11-2025 04:15,297,YES,1
50167,1146,2118,Cappuccino,L,20-08-2025 19:58,85,NO,1
50168,1331,2167,Muffin,L,31-08-2025 12:31,101,NO,2
50169,1240,2186,Cappuccino,M,07-06-2025 23:36,161,NO,5
50170,1439,2129,Muffin,M,28-11-2025 11:17,441,NO,5
50171,1033,2045,Americano,M,11-10-2025 13:58,448,NO,4
50172,1367,2036,Sandwich,L,04-08-2025 00:51,281,YES,4
50173,1193,2121,Espresso,L,21-10-2025 18:56,339,NO,2
50174,1358,2083,Tea,L,12-08-2025 19:20,379,NO,1
50175,1024,2008,Espresso,S,24-06-2025 23:00,420,YES,4
50176,1479,2174,Hot Cocoa,M,31-10-2025 18:31,198,YES,1
50177,1461,2045,Espresso,M,02-12-2025 07:40,112,YES,5
50178,1129,2030,Latte,L,20-06-2025 08:45,306,NO,5
50179,1324,2008,Espresso,M,27-06-2025 02:50,437,NO,4
50180,1069,2164,Cappuccino,S,25-07-2025 05:48,331,NO,3
50181,1116,2052,Sandwich,S,29-08-2025 11:58,496,YES,1
50182,1299,2007,Tea,S,12-06-2025 16:00,494,YES,1
50183,1185,2199,Muffin,L,20-09-2025 08:21,116,NO,2
50184,1350,2187,Americano,L,16-09-2025 18:28,334,YES,2
50185,1293,2122,Latte,M,14-08-2025 10:26,396,YES,1
50186,1225,2110,Espresso,S,24-09-2025 17:32,120,YES,5
50187,1153,2026,Tea,M,20-07-2025 23:38,106,NO,1
50188,1115,2075,Muffin,M,20-10-2025 18:35,263,YES,2
50189,1496,2074,Cold Coffee,L,25-09-2025 22:27,203,NO,4
50190,1317,2015,Hot Cocoa,L,26-11-2025 09:13,136,NO,3
50191,1335,2008,Tea,M,27-08-2025 00:59,213,YES,3
50192,1455,2196,Sandwich,S,15-07-2025 20:53,360,NO,1
50193,1121,2127,Espresso,L,28-11-2025 19:33,392,YES,3
50194,1037,2107,Hot Cocoa,L,03-10-2025 03:14,121,NO,2
50195,1139,2186,Cold Coffee,S,13-06-2025 03:00,334,YES,3
50196,1221,2123,Cappuccino,S,10-06-2025 09:01,108,YES,2
50197,1274,2156,Espresso,L,16-10-2025 22:52,457,YES,5
50198,1247,2014,Hot Cocoa,M,19-10-2025 06:05,144,NO,4
50199,1282,2036,Mocha,M,29-06-2025 02:59,395,NO,3
50200,1100,2088,Cold Coffee,S,22-07-2025 11:03,198,YES,5
50201,1006,2059,Muffin,L,30-10-2025 08:19,493,YES,1
50202,1448,2185,Americano,S,21-06-2025 02:08,109,YES,4
50203,1093,2073,Americano,M,13-08-2025 02:40,388,YES,3
50204,1067,2156,Espresso,M,11-10-2025 21:39,142,YES,1
50205,1129,2140,Cold Coffee,M,21-10-2025 03:49,456,NO,2
50206,1228,2183,Sandwich,M,04-11-2025 17:08,362,NO,2
50207,1270,2069,Hot Cocoa,L,19-09-2025 08:17,337,YES,1
50208,1178,2106,Cappuccino,L,08-09-2025 14:59,223,YES,2
50209,1467,2036,Espresso,S,04-08-2025 10:13,459,YES,1
50210,1191,2186,Cold Coffee,S,21-07-2025 20:46,437,NO,4
50211,1488,2030,Latte,M,15-11-2025 14:39,97,NO,3
50212,1302,2099,Hot Cocoa,S,17-06-2025 19:24,222,NO,4
50213,1010,2098,Hot Cocoa,M,14-06-2025 20:05,194,YES,4
50214,1095,2169,Espresso,L,16-06-2025 08:38,418,NO,1
50215,1278,2196,Espresso,S,29-11-2025 22:15,391,NO,3
50216,1415,2193,Sandwich,S,31-10-2025 06:09,94,NO,5
50217,1223,2110,Muffin,S,21-09-2025 15:38,278,NO,5
50218,1238,2109,Americano,L,24-09-2025 13:34,473,NO,2
50219,1492,2098,Hot Cocoa,L,02-12-2025 18:19,201,YES,1
50220,1144,2175,Sandwich,S,24-07-2025 17:52,474,NO,3
50221,1293,2102,Espresso,L,29-07-2025 11:17,265,NO,3
50222,1401,2168,Sandwich,S,04-08-2025 19:20,371,NO,3
50223,1434,2046,Espresso,M,09-06-2025 13:34,305,YES,4
50224,1019,2092,Cappuccino,L,17-11-2025 03:56,364,YES,4
50225,1030,2149,Espresso,M,27-11-2025 09:37,392,NO,1
50226,1226,2047,Americano,M,26-07-2025 14:38,333,YES,2
50227,1323,2045,Americano,L,11-10-2025 14:10,105,YES,1
50228,1336,2010,Sandwich,L,12-09-2025 14:34,305,NO,1
50229,1284,2184,Espresso,S,22-10-2025 23:08,212,NO,1
50230,1348,2091,Tea,L,21-07-2025 18:51,259,YES,1
50231,1260,2114,Hot Cocoa,L,21-06-2025 06:02,201,YES,3
50232,1293,2096,Cappuccino,S,08-10-2025 20:30,298,NO,2
50233,1013,2084,Muffin,M,24-08-2025 11:09,413,NO,4
50234,1483,2076,Americano,S,07-07-2025 08:12,268,YES,3
50235,1477,2039,Mocha,S,26-06-2025 20:10,391,YES,3
50236,1262,2184,Mocha,S,18-08-2025 18:37,378,YES,2
50237,1196,2196,Sandwich,S,19-07-2025 19:43,369,NO,5
50238,1376,2032,Tea,L,05-09-2025 22:18,417,NO,3
50239,1138,2050,Hot Cocoa,M,30-11-2025 02:59,204,NO,2
50240,1410,2197,Cappuccino,S,02-09-2025 17:22,241,YES,2
50241,1228,2188,Cold Coffee,M,21-06-2025 16:28,260,YES,3
50242,1335,2124,Cappuccino,S,01-09-2025 09:26,482,NO,2
50243,1292,2033,Mocha,S,03-11-2025 23:36,288,YES,5
50244,1134,2074,Sandwich,M,29-06-2025 02:51,121,NO,4
50245,1259,2038,Tea,M,07-10-2025 01:22,475,YES,2
50246,1449,2117,Espresso,S,29-06-2025 16:00,294,NO,5
50247,1365,2121,Latte,S,22-11-2025 01:04,97,NO,1
50248,1354,2043,Cold Coffee,S,14-09-2025 04:41,351,NO,4
50249,1182,2033,Espresso,L,22-09-2025 08:37,203,NO,1
50250,1173,2087,Hot Cocoa,L,03-10-2025 22:48,135,YES,1
50251,1379,2091,Sandwich,M,06-10-2025 16:59,310,NO,3
50252,1388,2123,Espresso,S,26-10-2025 15:11,173,YES,2
50253,1459,2002,Muffin,L,17-08-2025 00:50,425,NO,4
50254,1165,2113,Muffin,L,24-10-2025 12:20,381,NO,1
50255,1119,2077,Cappuccino,M,15-06-2025 14:08,368,NO,3
50256,1166,2099,Hot Cocoa,S,04-07-2025 00:26,101,YES,4
50257,1266,2072,Mocha,L,06-08-2025 06:09,130,NO,3
50258,1085,2031,Muffin,M,08-09-2025 16:59,304,YES,2
50259,1148,2067,Latte,S,02-12-2025 17:39,198,NO,2
50260,1050,2053,Tea,L,30-10-2025 19:01,166,YES,5
50261,1463,2011,Mocha,L,08-11-2025 08:40,179,YES,4
50262,1427,2007,Mocha,S,30-07-2025 22:33,372,NO,4
50263,1267,2033,Espresso,M,01-12-2025 11:15,136,YES,4
50264,1456,2111,Cold Coffee,M,23-06-2025 01:54,150,NO,1
50265,1496,2091,Tea,L,07-11-2025 06:14,193,YES,3
50266,1081,2130,Muffin,M,02-09-2025 06:23,402,YES,3
50267,1457,2010,Mocha,S,21-10-2025 03:07,486,NO,2
50268,1431,2143,Tea,L,13-06-2025 03:10,404,YES,2
50269,1071,2151,Cold Coffee,S,14-10-2025 23:07,180,NO,4
50270,1078,2125,Mocha,L,10-09-2025 16:00,224,YES,2
50271,1326,2023,Cold Coffee,S,29-08-2025 13:10,114,NO,5
50272,1313,2054,Americano,S,13-06-2025 17:58,294,NO,5
50273,1195,2162,Espresso,S,08-10-2025 01:03,258,NO,5
50274,1337,2047,Americano,S,23-11-2025 03:04,229,NO,4
50275,1408,2162,Muffin,L,14-08-2025 13:26,358,NO,3
50276,1050,2057,Sandwich,M,26-08-2025 16:32,308,NO,2
50277,1340,2109,Cappuccino,S,04-09-2025 10:55,243,YES,3
50278,1357,2102,Americano,M,16-11-2025 08:20,492,NO,5
50279,1211,2176,Muffin,S,01-08-2025 16:55,217,YES,4
50280,1032,2144,Muffin,M,15-10-2025 06:46,242,NO,4
50281,1415,2114,Cold Coffee,M,26-07-2025 20:02,107,NO,4
50282,1373,2057,Muffin,L,12-11-2025 03:41,103,NO,4
50283,1210,2057,Hot Cocoa,S,18-09-2025 07:06,185,YES,5
50284,1313,2085,Hot Cocoa,L,19-09-2025 00:35,90,YES,4
50285,1047,2200,Cappuccino,M,30-11-2025 08:23,260,YES,1
50286,1266,2054,Latte,L,14-07-2025 17:53,160,NO,2
50287,1149,2042,Tea,M,25-08-2025 11:39,190,YES,1
50288,1019,2006,Hot Cocoa,S,11-09-2025 14:15,283,NO,1
50289,1081,2073,Hot Cocoa,S,20-07-2025 21:00,403,YES,1
50290,1140,2192,Hot Cocoa,M,11-10-2025 10:54,285,YES,3
50291,1442,2022,Espresso,S,12-09-2025 04:17,449,NO,1
50292,1008,2191,Sandwich,S,27-10-2025 02:31,381,NO,2
50293,1426,2156,Cold Coffee,M,27-08-2025 18:27,342,YES,3
50294,1141,2118,Cappuccino,S,27-07-2025 12:41,415,NO,4
50295,1150,2110,Muffin,S,24-08-2025 02:44,367,NO,4
50296,1146,2180,Tea,L,23-07-2025 17:04,275,YES,4
50297,1373,2101,Sandwich,L,22-10-2025 23:16,135,NO,2
50298,1296,2007,Hot Cocoa,S,01-09-2025 00:40,269,NO,5
50299,1056,2165,Muffin,M,04-07-2025 03:07,494,YES,1
50300,1288,2044,Latte,M,29-09-2025 10:35,207,YES,2
50301,1207,2158,Muffin,L,24-10-2025 14:40,370,YES,1
50302,1393,2127,Muffin,M,05-08-2025 16:35,459,NO,2
50303,1019,2083,Tea,L,30-09-2025 11:23,288,YES,3
50304,1354,2054,Cappuccino,M,20-09-2025 03:43,335,NO,2
50305,1165,2119,Cappuccino,L,21-09-2025 22:41,458,YES,1
50306,1218,2180,Cold Coffee,M,30-06-2025 22:16,467,YES,2
50307,1267,2192,Hot Cocoa,S,14-07-2025 12:53,304,YES,1
50308,1454,2109,Hot Cocoa,S,05-10-2025 19:14,491,NO,2
50309,1384,2141,Espresso,M,08-06-2025 00:14,231,YES,4
50310,1151,2185,Mocha,M,15-09-2025 16:01,245,NO,5
50311,1333,2043,Espresso,M,15-09-2025 19:37,430,YES,5
50312,1488,2183,Sandwich,L,01-10-2025 14:21,208,NO,4
50313,1108,2085,Mocha,L,18-11-2025 17:33,149,YES,5
50314,1367,2122,Mocha,M,26-08-2025 01:12,171,YES,4
50315,1035,2002,Mocha,L,12-07-2025 15:43,182,YES,5
50316,1235,2085,Latte,S,05-10-2025 13:40,319,YES,1
50317,1180,2163,Latte,S,12-08-2025 04:43,401,YES,2
50318,1141,2073,Hot Cocoa,L,25-10-2025 19:59,236,NO,5
50319,1393,2104,Hot Cocoa,L,19-09-2025 06:25,408,YES,1
50320,1304,2040,Cappuccino,L,18-07-2025 05:47,223,YES,3
50321,1289,2027,Hot Cocoa,L,28-09-2025 06:11,410,NO,3
50322,1295,2198,Tea,L,30-07-2025 01:07,493,NO,2
50323,1087,2001,Mocha,S,23-06-2025 22:45,491,YES,2
50324,1085,2122,Mocha,M,21-06-2025 07:36,106,YES,5
50325,1414,2113,Mocha,L,05-09-2025 19:19,247,NO,5
50326,1390,2031,Americano,L,21-08-2025 13:45,273,NO,4
50327,1182,2080,Espresso,L,21-06-2025 09:32,389,YES,2
50328,1485,2163,Cappuccino,L,03-07-2025 22:59,303,NO,4
50329,1356,2065,Muffin,S,22-09-2025 13:07,302,NO,2
50330,1013,2094,Hot Cocoa,L,12-08-2025 09:32,452,NO,2
50331,1316,2144,Hot Cocoa,M,17-08-2025 21:01,171,YES,2
50332,1227,2093,Cappuccino,S,28-09-2025 00:56,238,NO,1
50333,1467,2095,Latte,L,02-12-2025 03:53,86,NO,1
50334,1332,2071,Tea,M,22-08-2025 13:17,102,NO,3
50335,1321,2015,Hot Cocoa,S,20-11-2025 19:50,447,NO,5
50336,1324,2117,Cold Coffee,S,06-09-2025 03:31,463,YES,1
50337,1190,2008,Latte,L,05-07-2025 23:01,441,YES,2
50338,1043,2108,Sandwich,S,31-08-2025 07:23,406,YES,3
50339,1050,2140,Mocha,S,11-10-2025 10:06,394,YES,3
50340,1429,2173,Hot Cocoa,L,09-07-2025 01:41,380,NO,5
50341,1008,2171,Espresso,M,15-11-2025 21:08,421,YES,1
50342,1099,2195,Hot Cocoa,S,25-10-2025 18:17,216,YES,2
50343,1228,2012,Muffin,L,14-07-2025 19:01,432,NO,2
50344,1326,2192,Hot Cocoa,M,29-07-2025 08:55,367,NO,1
50345,1175,2120,Latte,L,04-09-2025 02:51,125,YES,1
50346,1094,2187,Latte,S,06-08-2025 20:45,382,YES,2
50347,1404,2003,Cold Coffee,L,17-08-2025 22:31,315,YES,2
50348,1158,2175,Muffin,L,30-10-2025 23:32,457,YES,3
50349,1028,2098,Americano,S,30-07-2025 09:09,151,NO,4
50350,1116,2049,Hot Cocoa,S,10-07-2025 14:30,231,NO,4
50351,1136,2024,Mocha,M,26-09-2025 14:01,266,NO,5
50352,1231,2162,Espresso,S,13-06-2025 08:16,379,NO,2
50353,1276,2146,Tea,L,29-08-2025 11:00,257,NO,2
50354,1176,2180,Tea,L,14-11-2025 08:30,460,NO,1
50355,1263,2198,Sandwich,M,18-07-2025 14:14,319,NO,1
50356,1473,2030,Espresso,M,03-07-2025 08:41,319,NO,3
50357,1289,2097,Americano,M,20-10-2025 09:20,133,NO,1
50358,1082,2108,Cappuccino,M,10-08-2025 14:06,411,YES,2
50359,1468,2092,Cold Coffee,S,04-09-2025 20:44,359,YES,1
50360,1225,2158,Muffin,L,26-09-2025 01:17,435,NO,4
50361,1243,2063,Cold Coffee,L,17-08-2025 16:24,387,NO,4
50362,1348,2103,Latte,S,23-11-2025 14:13,199,YES,4
50363,1219,2199,Muffin,L,23-08-2025 00:43,383,YES,2
50364,1263,2043,Tea,L,19-10-2025 16:17,348,YES,5
50365,1385,2036,Mocha,L,09-08-2025 21:40,483,YES,1
50366,1159,2197,Muffin,M,03-09-2025 06:51,282,YES,4
50367,1001,2169,Cold Coffee,S,24-11-2025 15:57,168,NO,3
50368,1042,2048,Americano,S,29-08-2025 23:33,126,YES,2
50369,1351,2143,Cold Coffee,S,06-09-2025 21:41,161,NO,1
50370,1242,2141,Espresso,L,17-07-2025 11:22,321,NO,4
50371,1362,2063,Americano,M,01-07-2025 03:57,242,YES,4
50372,1396,2084,Muffin,L,26-10-2025 00:52,297,NO,5
50373,1037,2089,Cold Coffee,L,27-10-2025 23:44,380,YES,2
50374,1454,2156,Tea,S,16-08-2025 21:22,265,NO,5
50375,1422,2001,Americano,S,09-10-2025 13:42,197,YES,4
50376,1097,2012,Cold Coffee,M,29-08-2025 18:12,127,NO,4
50377,1335,2047,Cappuccino,S,31-07-2025 13:07,239,NO,4
50378,1018,2067,Cold Coffee,S,07-07-2025 23:15,283,YES,4
50379,1413,2022,Tea,L,26-10-2025 11:35,131,NO,1
50380,1083,2082,Tea,L,12-09-2025 15:45,276,NO,1
50381,1249,2168,Espresso,M,02-11-2025 23:53,107,NO,4
50382,1133,2190,Tea,L,09-11-2025 22:34,490,NO,5
50383,1191,2200,Hot Cocoa,L,10-08-2025 06:36,353,NO,1
50384,1403,2046,Espresso,L,31-10-2025 17:08,276,YES,2
50385,1004,2087,Hot Cocoa,M,14-07-2025 14:02,343,NO,4
50386,1025,2119,Mocha,S,29-06-2025 19:34,330,NO,3
50387,1026,2154,Muffin,M,27-08-2025 21:00,252,NO,1
50388,1278,2069,Cold Coffee,M,14-08-2025 12:18,293,YES,4
50389,1167,2077,Latte,S,29-09-2025 21:37,137,NO,1
50390,1273,2190,Sandwich,S,10-07-2025 05:44,123,YES,2
50391,1373,2038,Cold Coffee,M,28-08-2025 22:10,220,NO,4
50392,1353,2159,Americano,L,12-11-2025 12:50,348,NO,1
50393,1040,2084,Muffin,S,04-07-2025 17:00,391,YES,4
50394,1263,2186,Cold Coffee,M,07-10-2025 20:31,463,NO,4
50395,1206,2006,Mocha,L,26-07-2025 02:08,449,YES,4
50396,1495,2030,Espresso,L,26-07-2025 21:20,235,YES,1
50397,1192,2147,Americano,S,31-10-2025 22:18,303,NO,2
50398,1142,2129,Tea,S,01-10-2025 14:50,284,YES,3
50399,1140,2002,Tea,S,09-06-2025 20:20,480,NO,2
50400,1141,2069,Espresso,L,06-11-2025 15:58,405,NO,1
